rho,global_AUROC_mean,global_AUROC_std,global_AUPR_mean,global_AUPR_std,overall_AP_mean,overall_AP_std,overall_AUROC_mean,overall_AUROC_std,overall_nDCG@10_mean,overall_nDCG@10_std,overall_P@15_mean,overall_P@15_std,overall_R@15_mean,overall_R@15_std,nonhot100_AP_mean,nonhot100_AP_std,nonhot100_AUROC_mean,nonhot100_AUROC_std,nonhot100_nDCG@10_mean,nonhot100_nDCG@10_std,nonhot100_P@15_mean,nonhot100_P@15_std,nonhot100_R@15_mean,nonhot100_R@15_std,rare_AP_mean,rare_AP_std,rare_AUROC_mean,rare_AUROC_std,rare_nDCG@10_mean,rare_nDCG@10_std,rare_P@15_mean,rare_P@15_std,rare_R@15_mean,rare_R@15_std,middle_AP_mean,middle_AP_std,middle_AUROC_mean,middle_AUROC_std,middle_nDCG@10_mean,middle_nDCG@10_std,middle_P@15_mean,middle_P@15_std,middle_R@15_mean,middle_R@15_std,top15_hot_fraction_mean,top15_hot_fraction_std
0.0,0.7959555570948507,0.014520189309094138,0.2517792687575612,0.030415157801960527,0.3395400820003932,0.02351320617648439,0.8440520584937039,0.012894319595121478,0.4922814746863845,0.043028466982219994,0.45324444444444445,0.03711742387352413,0.23050765801975995,0.018881260656422556,0.10889197511215953,0.011515611795319613,0.7012086561987967,0.015824309133694228,0.1443891523807585,0.01973358893413768,0.11544768050208916,0.018788507391009835,0.1128743317243687,0.023440640770211872,0.07574829998052535,0.02600373429744868,0.6035810114010598,0.04510258305403546,0.08814963457252493,0.03250572031037955,0.04007104231860914,0.008476440875735257,0.14023968109534288,0.050637669288991945,0.0994689108070856,0.014220084824688449,0.6251367678878673,0.01870773750481641,0.11491891148468339,0.017968857173715477,0.06421350957974123,0.008519074265846284,0.15386990812201345,0.03232045704379779,0.9076444444444445,0.023575393463412937
0.1,0.8115719789042422,0.014217792813509128,0.2657202074881746,0.031199605671742417,0.3596318879981504,0.024789894985847254,0.8588568874043292,0.011190362763733181,0.5314903457423263,0.04190427942350439,0.47680000000000006,0.03939336981947444,0.24497832779083328,0.02020243224175461,0.11331663029465669,0.012634416370460125,0.7332636049647598,0.013605923362787738,0.14881683168359108,0.02081141558089637,0.1192588785417263,0.020516330311254532,0.11956704475388187,0.02057819882718787,0.07849211979879779,0.022398323535921635,0.624319105432128,0.04331443908305385,0.09068086612828131,0.030715367997420986,0.042243460580387866,0.008969290363618128,0.1528052157343357,0.06431762839425814,0.10572438759657676,0.013409594557305836,0.6500738125897219,0.018712872195789033,0.1216429860123982,0.018884119695818373,0.06779370875971331,0.00816553260311319,0.16369326714619364,0.029958637829831256,0.9337777777777779,0.018314131358254684
0.2,0.820623722800941,0.015550095558356878,0.27786073138400147,0.031960677432617955,0.3773443691219277,0.02614694459872558,0.868656484445547,0.0097570399581266,0.5652084914316917,0.04318900904826265,0.4944,0.039603632871562613,0.25526414650432794,0.021746857400933465,0.11699303243891926,0.013928620265912944,0.7546145119094468,0.011311701383713058,0.1507105453589827,0.025076432310728154,0.12140252206121394,0.02099488670182607,0.12122290330692005,0.020476941850224795,0.08023040875192189,0.0209799032840332,0.6350738168525758,0.04028754905072864,0.09206277286203537,0.02966942048285653,0.04310403554829506,0.010251644191591762,0.15670567164172908,0.05350655328456843,0.10770953797361382,0.012211157031684454,0.6660987966894866,0.02035572590602836,0.1247418508653206,0.017685181669464096,0.07036964517457281,0.011219344235521863,0.1731965334758712,0.023884448618082,0.9523555555555557,0.013650225983849115
0.3,0.8248749784918552,0.017231084018063225,0.2881588227088616,0.032587858353344025,0.39184055246446603,0.024775332683364716,0.8740760769468074,0.009049690765760166,0.5916896960670524,0.043355032647480016,0.5062222222222222,0.04101376529603901,0.26211189472021723,0.02209545051687746,0.11933713886888711,0.015347965973583712,0.7655313840602594,0.010629977931926514,0.15383860282821532,0.02676022971895841,0.1222654392216422,0.022586487789697497,0.12438231237353344,0.02635742282582479,0.08362872871126263,0.023588848626331038,0.6387667748749621,0.03905469321821719,0.09386961932545036,0.029320497164175664,0.040687404539879714,0.010889041461841477,0.14612310393282918,0.06028520673260967,0.1106935874483173,0.014188938595161705,0.6744227189298099,0.02133440454254632,0.1281562167368767,0.01822923246327471,0.07218233325301732,0.01296638681828701,0.17440654878502398,0.020816740966201095,0.9669333333333334,0.01243597595455972
0.4,0.8263966034224876,0.01874360368383566,0.29652169847389326,0.03313643699948013,0.4018655274894318,0.024586326262160316,0.8767695971155323,0.008745522535319133,0.6103787111419599,0.043318946332776116,0.5144,0.04085892622000551,0.26593951756592027,0.02113751070709096,0.12103377299471452,0.01654245891140926,0.770617267914334,0.010753471258628673,0.15645232919880683,0.02762218550352969,0.12514659643243475,0.024227684048036307,0.12829144640138054,0.026604363250511683,0.08216005489800925,0.024646995089504003,0.6386863602431201,0.039661189891789496,0.08979001399709463,0.03227264619434868,0.04108297378049768,0.009754301430699849,0.14300755531456816,0.05058637722006373,0.11297656717504263,0.017184728159729053,0.6777410793812935,0.022029084429856932,0.13009508284689725,0.021522937550434097,0.07028582331581686,0.013887305095226196,0.16923986964183144,0.024933568369504784,0.976977777777778,0.01080933397394209
0.5,0.8264824149327936,0.019982748467720524,0.30269510453439435,0.03343788078794903,0.4089845370841746,0.024882058050845885,0.8779542904777046,0.008587933629917855,0.6208026042888961,0.04386632913933073,0.5220444444444444,0.04264001225045314,0.270235763016675,0.019766754083537123,0.12189732767216752,0.016822794082701518,0.772476207338068,0.011258769935420033,0.1577032579371748,0.02775096095152044,0.12514140971819923,0.02407915055829348,0.12566031901211522,0.02425244229766262,0.08061563769410553,0.024526888534755816,0.6373268029454772,0.0389780245854401,0.08763311442478303,0.031929386497930055,0.040752402360626924,0.009459079508798186,0.14739531909363607,0.05144151566631859,0.11280617090189124,0.020979572597433882,0.6780458741506379,0.022136005563340073,0.13076190325366083,0.025465403388186775,0.0699609240374219,0.015347316086642361,0.17063322422750596,0.024089278913698338,0.9849777777777777,0.006992215934613893
0.6,0.8257332411057223,0.020982519062456014,0.3066322921580892,0.03345317385377402,0.41335379797466637,0.02480007939695619,0.8782071401226258,0.008499283704764365,0.6262305335070516,0.04344324287675774,0.5264888888888889,0.04321265881695059,0.2727215657853247,0.019161821394250354,0.12249326949186126,0.01675813073582049,0.772454064106084,0.01191342488998167,0.1588604578240711,0.029030168081872695,0.12600076158681212,0.02470172011704978,0.1274158470952067,0.023890281247296415,0.0778191327639318,0.023166404048563752,0.63560156187508,0.03843119811592069,0.0829793366078662,0.03042004355649997,0.03962482270923775,0.0092213125744878,0.14367074555613085,0.047401297597281594,0.11327517797807125,0.02422657874647832,0.6772552745589071,0.02239846587304826,0.13133128994141585,0.030058021656324364,0.06849093968324246,0.014825448951818343,0.16657178917894291,0.024623004122883024,0.990311111111111,0.005675447082695496
0.7,0.8244038599720241,0.021766319832442208,0.30827949332910143,0.03329811709502596,0.4144006889422943,0.024090002183749862,0.8778366423039804,0.008529129658487681,0.6274730263188345,0.04112289167135813,0.5299555555555556,0.04345930407992186,0.2748071531085154,0.020236298407539818,0.12294797285506343,0.017342516169903267,0.7713643831821559,0.012672149487948942,0.16078748223492056,0.02943937451107821,0.12532418775270404,0.02568394105024018,0.13000344617316267,0.02239684997470579,0.07754334084971586,0.024190163310927184,0.6334453322533836,0.03806389541296705,0.08292018235294701,0.03168315582229682,0.03819454571665228,0.010164177720353062,0.13912467156292724,0.044513453415056206,0.10903801489897229,0.026398185933584766,0.6753816796002016,0.022730035496435205,0.12498208401442004,0.031115072320164788,0.06817429645831706,0.0142528956304814,0.1648357312452179,0.027816145595788985,0.9944,0.004704491039383916
0.8,0.8226008701173999,0.022385408036154426,0.3077246290057833,0.032949697242977694,0.4132049889858787,0.02336909571728535,0.8768677317919906,0.00860265119496784,0.6260789540043536,0.03965487838945527,0.529511111111111,0.043123175097071365,0.27540681887762497,0.022297002546692816,0.12366429343555455,0.016685493483040235,0.7693341189474461,0.013316784969823749,0.16181041392869389,0.02998775676769778,0.12423609374651241,0.028048274910587798,0.12619765617584172,0.02031429603698285,0.0729793447306648,0.02155210477366562,0.6308810311534525,0.03738379630237429,0.07860115554907984,0.02710901195570818,0.037156821303724885,0.010229020954830623,0.1316381144374826,0.04653962662477635,0.10685421331251962,0.022548741975165088,0.6732593337614047,0.0226338463860891,0.1231979567018239,0.02778125297871601,0.06705747431948467,0.01523693476236157,0.16159251149119486,0.02561288524916469,0.9962666666666667,0.0031857019391325326
0.9,0.8203345605067659,0.022882652635216605,0.30493637715863053,0.03265176729239709,0.40999052298377947,0.0236305664370901,0.87537965914758,0.008692198488773865,0.6241554727958409,0.040455111552309374,0.5304,0.04294569256966365,0.27612413455863166,0.021291409672766826,0.11888167004641806,0.012852411230163585,0.7667971182099864,0.013928556970665088,0.15632959848597416,0.026550376786687983,0.11997225417860184,0.028725314040452685,0.1199659003912779,0.016130433689545583,0.06760570617522012,0.021062521436220512,0.6286037485787148,0.037122146832329735,0.07272095929166335,0.027733892523538663,0.03588767736837607,0.010635790519618812,0.12765990550061887,0.04840139244276556,0.10052882887317985,0.021991320116813335,0.6704648397633691,0.02289251359209239,0.11396473582105533,0.027857137341749535,0.06465939024534803,0.015875508342556625,0.15799359652358708,0.032187735606570546,0.9970666666666667,0.0037723999485397086
1.0,0.8175610655210932,0.023313187090091204,0.29948808058244814,0.032407054669272475,0.4049613348579708,0.02396670249875208,0.8732802606760416,0.00886658419707906,0.6231585196670388,0.040034057456366116,0.5267555555555555,0.04312144460602909,0.27408323625956893,0.021136001292383355,0.1125939119121973,0.01477876258766069,0.7633384307465876,0.014463179188354101,0.142499258685932,0.025723123475438908,0.11389272245426982,0.026743494964623252,0.11688018049742015,0.013024736298180028,0.06257306331564842,0.01734710036683342,0.6263541945979157,0.03690629715081232,0.06592751280362122,0.02656652757703496,0.03495226403724186,0.01153814547493945,0.11899066951500814,0.048686164405868426,0.09212622391681058,0.02173735138298839,0.6670105035061306,0.023029765466673208,0.10094605976345923,0.028646452790755585,0.062485330718185836,0.01593944750905421,0.14724377113761666,0.03260722854511521,0.9951111111111111,0.0064406118871953065
