scenario,model,fold,removed_top_n_hot_side_effects,MAP,auc_all,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,auc_rank
warm,RF,0,10,0.031372357778918274,0.7743532979421385,0.06741981310425856,0.00847457627118644,0.016949152542372874,0.017288135593220313,0.018192090395480205,0.0021831087932782847,0.022839561728339165,0.03969435273800674,0.06341693456289352,
warm,XGBoost,0,10,0.024270210771590178,0.7493017978695135,0.04049472932721181,0.0,0.01084745762711865,0.010847457627118638,0.014463276836158192,0.0,0.009201863915082126,0.017115070123935875,0.03601380424107492,
warm,Global popularity,0,10,0.09012402492152684,0.8364104412865736,0.22750404667852986,0.07457627118644068,0.09118644067796623,0.0845762711864409,0.07672316384180813,0.008164690827762854,0.0712770222301529,0.14530497702971754,0.20497356237850956,
warm,HSTrans,0,10,0.07372115483623509,0.8265947077719893,0.1860335590520701,0.059322033898305086,0.061016949152542334,0.06576271186440694,0.06463276836158202,0.007040164088209941,0.0450745062176652,0.11141699253322195,0.1695278239567517,
warm,RF,0,20,0.029660564382511523,0.7702042152402913,0.05950720389848842,0.005309734513274336,0.015575221238938054,0.015221238938053081,0.016047197640117982,0.0012852928782132321,0.019817352332064463,0.03613937657645585,0.059517178715319946,
warm,XGBoost,0,20,0.020316355424229746,0.7252171534685177,0.03035489290364501,0.0,0.009203539823008852,0.008141592920353985,0.010265486725663717,0.0,0.0054774107308901455,0.010180472775463197,0.02268619642531348,
warm,Global popularity,0,20,0.05325991307647485,0.8153388528883918,0.1019361220493689,0.023008849557522124,0.038584070796460125,0.045309734513274365,0.048141592920353915,0.0013137073746895549,0.014703540818976277,0.04695067941885952,0.09828828157372019,
warm,HSTrans,0,20,0.04955415578517478,0.8056611847578604,0.10832165877329603,0.024778761061946902,0.03292035398230085,0.039469026548672625,0.04224188790560466,0.0016600945175368749,0.020504991408181454,0.05635149292648997,0.0969300636741651,
warm,RF,0,50,0.02735048613689171,0.7448944175378274,0.05655980669208857,0.011695906432748537,0.014035087719298253,0.013255360623781668,0.013905133203378812,0.003366524419155998,0.02214879284104204,0.03466232976978363,0.05613994960997656,
warm,XGBoost,0,50,0.016165750142089205,0.6782041965148057,0.025438053482349617,0.0,0.007017543859649124,0.005847953216374271,0.007277452891487985,0.0,0.004693373675739603,0.009199409409311722,0.019276842649089226,
warm,Global popularity,0,50,0.026430102029793283,0.764882777795357,0.022593154604027214,0.0,0.0058479532163742695,0.010526315789473682,0.012605588044184542,0.0,0.0011667710329989096,0.005671033835132155,0.011618745088062788,
warm,HSTrans,0,50,0.026262380498985168,0.7556463023171263,0.0396944298371359,0.005847953216374269,0.008576998050682263,0.01325536062378167,0.014944769330734242,0.0003608386187641343,0.005588438731590149,0.016232562369591485,0.028190978713315506,
warm,RF,0,100,0.023695263496562664,0.6992894934890076,0.04538896015620823,0.011312217194570135,0.011312217194570139,0.010407239819004524,0.011161387631975868,0.003846153846153846,0.016953046472942664,0.031032135876426527,0.04660800459787512,
warm,XGBoost,0,100,0.012086833572958372,0.6064051256723625,0.020024665475181298,0.0,0.003619909502262443,0.005203619909502264,0.005279034690799398,0.0,0.0037029785397348744,0.012477271410381217,0.015299041245178346,
warm,Global popularity,0,100,0.01523092971879462,0.6897970184111153,0.000713721440691694,0.0,0.0,0.00022624434389140272,0.0015082956259426846,0.0,0.0,6.464124111182935e-05,0.0008769478806592324,
warm,HSTrans,0,100,0.01380758131565269,0.6810918639344472,0.007459037781633646,0.0022624434389140274,0.0013574660633484165,0.002262443438914027,0.002865761689291101,0.00013308490817141337,0.0003492739478898649,0.001770066246709845,0.0029774367804560904,
warm,RF,1,10,0.02963117492229459,0.779525411047024,0.07797749335230247,0.018425460636515914,0.017085427135678385,0.019597989949748717,0.019988833054159664,0.003193577314180329,0.018916694068867472,0.051584769646221815,0.07881404188598048,
warm,XGBoost,1,10,0.025456459052791314,0.7584644944320995,0.05860879580028835,0.0016750418760469012,0.014070351758793974,0.01624790619765492,0.016192071468453365,0.00033500837520938025,0.01645940432133707,0.04282665607444864,0.06145572240833791,
warm,Global popularity,1,10,0.08959308793269614,0.85040215132138,0.23097052325299686,0.06700167504187604,0.08710217755443907,0.08542713567839219,0.0748185371300952,0.007423278883814014,0.07190856104394329,0.15799124773082845,0.214146327372273,
warm,HSTrans,1,10,0.07410857733051272,0.838297145299301,0.18358848669512734,0.07202680067001675,0.06331658291457287,0.0603015075376886,0.05840312674483531,0.008475942277314416,0.046211146929090785,0.1028759897979209,0.15895173825612863,
warm,RF,1,20,0.026669005543081235,0.7645381356329678,0.05868277020770868,0.01592920353982301,0.013451327433628325,0.014513274336283173,0.01510324483775811,0.002845470734423061,0.01406646368340856,0.034149423084523824,0.054785609921291153,
warm,XGBoost,1,20,0.019540177593430214,0.7287976860616004,0.025599434987326013,0.0,0.006725663716814162,0.006194690265486729,0.007905604719764018,0.0,0.0049642276696681194,0.008015269548143626,0.018602379174648055,
warm,Global popularity,1,20,0.05487264099321658,0.8284249047519371,0.10965499515786305,0.02654867256637168,0.038584070796460146,0.04654867256637173,0.046725663716814095,0.0022241420941053426,0.0163212730582287,0.0521095340290523,0.09627729413304842,
warm,HSTrans,1,20,0.05954377095452801,0.8161947932382203,0.13828224198378414,0.04601769911504425,0.04778761061946896,0.04530973451327442,0.0435398230088495,0.006209043660371095,0.037249491441845695,0.07819873878352093,0.11758817370462003,
warm,RF,1,50,0.023236492660272473,0.7334353374416123,0.05140855355445229,0.009823182711198428,0.012966601178781931,0.012966601178781918,0.01309757694826457,0.0020301244269810086,0.015338789918419039,0.035142816345723665,0.05094412351649131,
warm,XGBoost,1,50,0.014332102003918268,0.6777954652948727,0.010607475788615928,0.0,0.003143418467583497,0.0025540275049115916,0.004060248853962016,0.0,0.0021550711531065163,0.003120273272532605,0.008419460833660332,
warm,Global popularity,1,50,0.02829430306488727,0.7788247814650967,0.02544325072145826,0.0019646365422396855,0.008644400785854617,0.011787819253438107,0.014800261951538968,6.548788474132285e-05,0.001807580798417878,0.005558710150018947,0.013637057982115033,
warm,HSTrans,1,50,0.02953006295612848,0.765623315496044,0.04887238187382335,0.01768172888015717,0.014538310412573682,0.014538310412573658,0.017550753110674524,0.0015388762027980878,0.0061733186231809085,0.013168243327476197,0.032622911837483226,
warm,RF,1,100,0.0186051797886363,0.6959165068402352,0.037558318159245034,0.00683371298405467,0.008656036446469251,0.00842824601366743,0.008048595292331063,0.0004283238907384693,0.01405100530954745,0.026035827624665893,0.03603970851202063,
warm,XGBoost,1,100,0.01079835428062027,0.6083775860518604,0.011703525200602452,0.0,0.0013667425968109342,0.003189066059225513,0.003644646924829157,0.0,0.0024889102026135956,0.007184177900360189,0.00930295905647917,
warm,Global popularity,1,100,0.015354388062098396,0.7025274819824451,0.0013169240378947055,0.0,0.0,0.00045558086560364467,0.001518602885345482,0.0,0.0,0.00019843812657871997,0.0009287952578470131,
warm,HSTrans,1,100,0.015386293345897957,0.6870791169228928,0.009517169176016022,0.002277904328018223,0.002277904328018223,0.0029612756264236905,0.004100227790432801,9.111617312072893e-05,0.00043214473453653406,0.0017842930657641124,0.007546465923113755,
warm,RF,2,10,0.03151398562840397,0.7709273537990105,0.07063393486393828,0.011494252873563218,0.019047619047619042,0.01888341543513955,0.019266557197591662,0.003084382848448184,0.023358931354668672,0.04283709981574062,0.06723906985058088,
warm,XGBoost,2,10,0.024285830527659754,0.7525996628241718,0.04129974770988483,0.003284072249589491,0.010509031198686377,0.01149425287356321,0.013355227148330593,0.001683087027914614,0.006860296449608935,0.01936834456189274,0.03717503200926405,
warm,Global popularity,2,10,0.08908580689728686,0.8400065297591117,0.21905543074940526,0.060755336617405585,0.0827586206896553,0.082594417077176,0.07564313081554486,0.007272360226868157,0.0661869531618785,0.14945760036324743,0.2137228208724107,
warm,HSTrans,2,10,0.07371315130920288,0.8353206047365558,0.1832762957413074,0.05090311986863711,0.06305418719211821,0.06272577996715942,0.05878489326765193,0.0065806794422318595,0.0554304685650921,0.11634546743564429,0.1724266239246812,
warm,RF,2,20,0.029675080541039685,0.7579591612261024,0.06631203737070754,0.012216404886561954,0.01849912739965096,0.017102966841186715,0.01640488656195462,0.0038149474908912764,0.02338545394960472,0.038851369917795364,0.05722723572905303,
warm,XGBoost,2,20,0.0200398972530139,0.7255625014650434,0.026392512130766738,0.0017452006980802793,0.006980802792321119,0.00698080279232112,0.007329842931937181,4.363001745200698e-05,0.005350822694591525,0.008922430276402072,0.01650378252482158,
warm,Global popularity,2,20,0.053387373895394635,0.8161400760302013,0.10919828093262551,0.019197207678883072,0.04013961605584638,0.04677137870855153,0.048283885980220966,0.001057124216964069,0.01749269015376573,0.04966598479130374,0.09201232893760769,
warm,HSTrans,2,20,0.053180435840221814,0.8134872151324587,0.12293752346144478,0.027923211169284468,0.03804537521815003,0.03926701570680634,0.04025596276905172,0.00464309886762596,0.029891171749515996,0.059910991462436274,0.10665844808269606,
warm,RF,2,50,0.02591732213763021,0.7258313378907743,0.05771504164980325,0.01383399209486166,0.01620553359683795,0.014426877470355723,0.013965744400527004,0.0036059707749431067,0.017679557937989025,0.029131160881208703,0.04649556882819094,
warm,XGBoost,2,50,0.014780774804166848,0.6682353750349214,0.017878046039843016,0.0,0.004347826086956522,0.00474308300395257,0.005270092226613968,0.0,0.0012632834122780847,0.003815267364475603,0.00856066058565934,
warm,Global popularity,2,50,0.027467895526614796,0.7588343830277273,0.02691269455756288,0.0,0.009090909090909094,0.01403162055335968,0.01699604743083004,0.0,0.001821228739738876,0.006807042384191299,0.014263269905881785,
warm,HSTrans,2,50,0.027112108686177524,0.7575639054664856,0.04341532370264473,0.003952569169960474,0.012252964426877476,0.013636363636363629,0.016073781291172592,0.00019351119894598154,0.00668256187230113,0.012969264644980234,0.032736742997551076,
warm,RF,2,100,0.021970575752143017,0.6747968786751378,0.05239701624922581,0.015945330296127564,0.015034168564920281,0.012984054669703869,0.01123766135155657,0.004220110330037584,0.017551103133713906,0.02668613874463127,0.03486451006785051,
warm,XGBoost,2,100,0.01104482165609387,0.5938524912601784,0.019739157028721976,0.002277904328018223,0.004100227790432801,0.005239179954441915,0.005770690964312834,7.34807847747814e-05,0.001843486362516805,0.004993957439543838,0.0118485347484943,
warm,Global popularity,2,100,0.014842126453510716,0.6751240066727325,0.0,0.0,0.0,0.0,0.0019741837509491267,0.0,0.0,0.0,0.0011839710385032557,
warm,HSTrans,2,100,0.01460461020429919,0.6811355974768328,0.007192455189553448,0.0,0.002277904328018223,0.0018223234624145785,0.0034927866362946085,0.0,0.00120871704015212,0.0016133447826290408,0.00839364199097201,
warm,RF,3,10,0.031197208864225903,0.7806938910813466,0.0838772365475236,0.021702838063439065,0.018697829716193645,0.021035058430717825,0.020367278797996637,0.005155526504407205,0.02100304183079782,0.05589195550334423,0.0748447333699377,
warm,XGBoost,3,10,0.024616106519059138,0.7530409914076298,0.0501892916025364,0.00333889816360601,0.013021702838063446,0.013355592654424021,0.013689482470784631,0.00014100927387778023,0.015460157132333424,0.02871501944085252,0.038762276691816415,
warm,Global popularity,3,10,0.09154243374305124,0.8442951418072931,0.23198270152016562,0.07345575959933222,0.09048414023372302,0.08848080133555955,0.07746243739565979,0.008050159510644537,0.07041097544530184,0.1599364469272629,0.22214482641732905,
warm,HSTrans,3,10,0.08102236173111965,0.8448109382540507,0.20016338079345428,0.06176961602671119,0.0691151919866445,0.0701168614357264,0.06399554813578201,0.008671963216890743,0.059576661256885426,0.13900278305748906,0.18689911548465007,
warm,RF,3,20,0.028807555103264867,0.7680820066382142,0.07552840247209004,0.01773049645390071,0.01595744680851064,0.018971631205673727,0.018676122931442062,0.003328925881688407,0.014243893334776424,0.047916199552568504,0.06984548525149732,
warm,XGBoost,3,20,0.020699114060389722,0.7267490810275266,0.03326999556441956,0.0035460992907801418,0.007801418439716315,0.008865248226950354,0.008747044917257687,0.00015873586352309758,0.0073939320776872765,0.014974020739205847,0.019692911685347,
warm,Global popularity,3,20,0.0549957278540395,0.8209906717422969,0.11689677307594902,0.02304964539007092,0.04255319148936168,0.050531914893617115,0.049054373522458554,0.0010698590542243887,0.01864786799328719,0.059837340617451114,0.10085670442817911,
warm,HSTrans,3,20,0.05497653067807649,0.8235384259921702,0.12698401067795606,0.03546099290780142,0.040070921985815564,0.044858156028368866,0.04326241134751767,0.004522907448439363,0.02500494204104475,0.07435348099836171,0.11475707330129561,
warm,RF,3,50,0.02553434491641095,0.7369751474566189,0.06667207519444507,0.017892644135188866,0.0143141153081511,0.01630218687872761,0.014711729622266393,0.0031451225811380667,0.019402135900649427,0.053023274843449056,0.07021721102608461,
warm,XGBoost,3,50,0.015262640243485176,0.6675345855176316,0.01667531613575596,0.0019880715705765406,0.003976143141153081,0.00437375745526839,0.005168986083499008,0.00014200511218403862,0.003423215023180448,0.00518871861133772,0.011250416338189458,
warm,Global popularity,3,50,0.027628138826581747,0.7669996061582349,0.021732093962653704,0.0,0.007952286282306164,0.010536779324055662,0.01510934393638171,0.0,0.0014175351623415397,0.0043821933740896745,0.011756239647591413,
warm,HSTrans,3,50,0.031177148935806386,0.7720771286506733,0.05396021068097164,0.015904572564612324,0.012723658051689865,0.015705765407554657,0.01630218687872762,0.0036995888758316717,0.00898876387041666,0.02479390923221899,0.03569467425094309,
warm,RF,3,100,0.021726517695483737,0.694011249574958,0.059138199262820455,0.011494252873563218,0.01241379310344828,0.014252873563218381,0.01180076628352491,0.0023652618135376756,0.01946295228454149,0.04816504732818562,0.06246588059453613,
warm,XGBoost,3,100,0.01078751141409007,0.5905052376625594,0.018317224906367145,0.0022988505747126436,0.004137931034482758,0.004597701149425288,0.005057471264367816,0.00022988505747126439,0.002904740953742768,0.005630926945648841,0.011581727944895481,
warm,Global popularity,3,100,0.015538635113219108,0.685960120795525,0.001356539820647975,0.0,0.0,0.00045977011494252877,0.001532567049808429,0.0,0.0,0.00018420277040966695,0.0008749400763919821,
warm,HSTrans,3,100,0.014006343702516409,0.6985264118263166,0.006606785661417932,0.0,0.001839080459770115,0.0018390804597701149,0.0026053639846743294,0.0,0.0004220320917235617,0.0007922526510431199,0.002327565825389719,
warm,RF,4,10,0.030543308051761784,0.7671905606898872,0.072328053345722,0.016556291390728478,0.018874172185430454,0.01854304635761586,0.01799116997792493,0.005270529375656143,0.02689523604124891,0.04658182550970061,0.06765721134698051,
warm,XGBoost,4,10,0.02396317472040411,0.7382673704913053,0.037383288735312714,0.0,0.008609271523178811,0.01043046357615893,0.011147902869757165,0.0,0.008906165617127069,0.023917607127844787,0.03586406223157901,
warm,Global popularity,4,10,0.08858015482021273,0.8384394493200368,0.22476592076599744,0.076158940397351,0.08344370860927164,0.08377483443708637,0.07494481236203117,0.007496899916606483,0.06109482751547127,0.15673998290925314,0.21785411735547863,
warm,HSTrans,4,10,0.07618255720014999,0.8354956539622694,0.18569005417034765,0.05132450331125828,0.06258278145695363,0.06456953642384125,0.06302428256070657,0.0061261498704998155,0.04701547295625155,0.1148995009015438,0.18164895290277389,
warm,RF,4,20,0.029204314154463402,0.7655772873984965,0.06733884420933066,0.02112676056338028,0.015492957746478877,0.0163732394366197,0.016549295774647883,0.0061563387707753905,0.025044115583403945,0.04188275913647432,0.06526762980783911,
warm,XGBoost,4,20,0.02012084162367828,0.7113384838659946,0.026781184144519875,0.0,0.0063380281690140865,0.007394366197183101,0.007159624413145547,0.0,0.00460149762066953,0.014416872443995277,0.01759565798811192,
warm,Global popularity,4,20,0.053876174443720726,0.8153637024831369,0.11341133721335832,0.02112676056338028,0.03873239436619715,0.047711267605633885,0.0484741784037558,0.0008306018909153847,0.01805568881805656,0.059692703977654187,0.10495423746110001,
warm,HSTrans,4,20,0.05348420063862569,0.8132861681942659,0.11376971276410751,0.028169014084507043,0.03450704225352108,0.03908450704225358,0.041549295774647825,0.004488496226626623,0.024216505505565852,0.056366810080805484,0.09721043967939667,
warm,RF,4,50,0.02543340147384432,0.7494762513873173,0.05787515529233136,0.019193857965451054,0.012667946257197703,0.013051823416506708,0.013947536788227764,0.006650133380106104,0.02279094420488051,0.03768968284141437,0.061667157559341816,
warm,XGBoost,4,50,0.01497414821775719,0.6690693255241124,0.018443060325722124,0.0,0.0049904030710172746,0.004414587332053745,0.0044785668586052475,0.0,0.005907945829415226,0.008608816222015571,0.010988281148444192,
warm,Global popularity,4,50,0.02768304774617021,0.7710540366928645,0.021774343643075386,0.0019193857965451055,0.008061420345489444,0.011132437619961608,0.015227127319257844,0.00010102030508132134,0.0014756416610495128,0.004955266664292252,0.01237525918695385,
warm,HSTrans,4,50,0.03280408549440361,0.7702671502345116,0.056414757303119206,0.01727447216890595,0.014587332053742809,0.017274472168905937,0.01906589891234804,0.0036820835748627126,0.010599698500784705,0.02745974855221064,0.043173535929462034,
warm,RF,4,100,0.020265572925642152,0.702768866833334,0.0417287336834909,0.015625,0.009375000000000003,0.008928571428571433,0.00863095238095239,0.006097731534847572,0.017767646211244444,0.031091145691963872,0.04203944047149972,
warm,XGBoost,4,100,0.0111819662178777,0.5904739802222565,0.021480983128564144,0.0,0.004910714285714285,0.00535714285714286,0.0047619047619047615,0.0,0.007335745307365643,0.010781401897317777,0.015988374167933337,
warm,Global popularity,4,100,0.014906300159344469,0.6883228110940867,0.0,0.0,0.0,0.0,0.002529761904761905,0.0,0.0,0.0,0.001499317241054511,
warm,HSTrans,4,100,0.014916812077040384,0.6947112575499457,0.008656543548136112,0.004464285714285714,0.0026785714285714286,0.004017857142857143,0.005208333333333334,0.00014029415706244972,0.00045275317883008677,0.001522460686793452,0.0033169988289907465,
warm,RF,5,10,0.031170331257448912,0.7771110551626308,0.07134992462211967,0.015025041736227046,0.016360601001669445,0.017696160267111825,0.01947690595436837,0.0019639234715845377,0.019766581732252483,0.0474884395400797,0.07506694447994083,
warm,XGBoost,5,10,0.024518865154560362,0.7490631098096645,0.039987838924128376,0.00333889816360601,0.011018363939899838,0.009515859766277123,0.010573177518085697,0.0009738452977184197,0.011300356603591879,0.02209399939195187,0.0356039763962331,
warm,Global popularity,5,10,0.08743199691245832,0.838347756577868,0.22166541683352375,0.06010016694490818,0.08313856427378978,0.08881469115192012,0.07857540345019502,0.007608732550469496,0.062043832107911465,0.1489151625686994,0.210906522202435,
warm,HSTrans,5,10,0.08320130815247545,0.8315777084158582,0.21605792445765834,0.07178631051752922,0.07746243739565957,0.07429048414023391,0.06911519198664465,0.009609521967147844,0.05902440189130939,0.12970489946132543,0.18913432276424175,
warm,RF,5,20,0.030392500062931593,0.7728747736821854,0.07022461472353204,0.0176678445229682,0.01484098939929329,0.016961130742049444,0.018021201413427543,0.0025232777925203796,0.02013504332524385,0.04899642539204908,0.07493990581095046,
warm,XGBoost,5,20,0.02078530447982217,0.7244728206762434,0.02504249302250055,0.0035335689045936395,0.006713780918727917,0.005830388692579509,0.006595995288574801,0.0009386042402826855,0.007622340115714676,0.01511683644192478,0.02256817387559437,
warm,Global popularity,5,20,0.05482078526813915,0.8143260360408945,0.12159676198136848,0.026501766784452298,0.04169611307420491,0.05318021201413434,0.05147232037691392,0.0019319966448941713,0.018103410489532977,0.056353944664863626,0.09565063558897767,
warm,HSTrans,5,20,0.05373276918226545,0.8072069446056925,0.12905777704542412,0.045936395759717315,0.042402826855123615,0.043992932862190894,0.045111896348645396,0.004444607822221849,0.02431041103301126,0.057355632231223,0.09722149891769767,
warm,RF,5,50,0.02609502177196053,0.7393170648880876,0.06228924042115624,0.013725490196078431,0.016078431372549024,0.015098039215686261,0.014509803921568623,0.0020259822736602923,0.025448887383416614,0.04850441286635295,0.06453495885725702,
warm,XGBoost,5,50,0.014949284980487497,0.6698331899589877,0.007670005162684616,0.00196078431372549,0.0011764705882352942,0.00196078431372549,0.002875816993464052,0.000980392156862745,0.003006535947712418,0.005493298677882857,0.01086197453409068,
warm,Global popularity,5,50,0.026208601476280274,0.7605369844236034,0.02397426730397316,0.0,0.008235294117647061,0.011764705882352938,0.014771241830065365,0.0,0.0015621597817513271,0.005665275870506517,0.014501598613584963,
warm,HSTrans,5,50,0.026529661965903045,0.7569855904896324,0.040943626619768844,0.00980392156862745,0.012156862745098045,0.014509803921568616,0.01803921568627451,0.00045153689495121713,0.0038679956882905577,0.01412862486626919,0.03336009163179217,
warm,RF,5,100,0.025385383150219452,0.7031234369295053,0.05235980932826397,0.013544018058690745,0.0144469525959368,0.01264108352144469,0.012641083521444697,0.003730414287611207,0.02713084923095374,0.046757892616462134,0.07262800088528729,
warm,XGBoost,5,100,0.01316701781281131,0.6122589891545142,0.009193161131766646,0.002257336343115124,0.0018058690744920994,0.002257336343115124,0.0030097817908201654,0.002257336343115124,0.0047143601319673545,0.00863831428165514,0.012877709398192138,
warm,Global popularity,5,100,0.01552045177662249,0.6875879565294074,0.0019575496138908885,0.0,0.0,0.0006772009029345373,0.0019563581640331075,0.0,0.0,0.0003407709671818024,0.0013207260267261724,
warm,HSTrans,5,100,0.014003941590783555,0.682770571876482,0.003349325679002274,0.0,0.0009029345372460497,0.0009029345372460497,0.002257336343115124,0.0,0.00022790415002604618,0.000440132353224904,0.00803134234582494,
warm,RF,6,10,0.029833379264096755,0.7805528270392238,0.06906956422427267,0.010084033613445379,0.015462184873949578,0.01815126050420165,0.017478991596638634,0.0018419908008970177,0.02109331000450177,0.04797828862345461,0.06551376551245257,
warm,XGBoost,6,10,0.025519556543848028,0.7569310276091933,0.0366870640275234,0.0,0.010756302521008409,0.010756302521008392,0.012324929971988786,0.0,0.00818184114826616,0.021937557745002834,0.031126662780343133,
warm,Global popularity,6,10,0.08979011225276279,0.8392033440938484,0.2189514046455658,0.06050420168067227,0.08840336134453793,0.088403361344538,0.08022408963585463,0.006763705768864564,0.06343350249590012,0.1480157977033202,0.22462252194632668,
